room_number,Customer,Companions,Products,email,Preauthorizations,Balance including preauthorizations,check_in_date,check_out_date
203-1,Guest1,1 People 5/27/2023 - 7/10/2023,,emailaddress_1@gmail.com,0,2561.53,5/27/23 11:00,7/10/23 10:00
203-2,Guest2,1 People 6/9/2023 - 6/13/2023,,emailaddress_1@gmail.com,0,0,6/9/23 11:00,6/13/23 10:00
203-2,Guest3,1 People 6/8/2023 - 6/9/2023,,emailaddress_1@gmail.com,0,0,6/8/23 11:00,6/9/23 10:00
203-2,Guest4,1 People 6/3/2023 - 6/8/2023,,emailaddress_1@gmail.com,100,-100,6/3/23 11:00,6/8/23 10:00
203-3,Guest5,1 People 6/3/2023 - 6/17/2023,,emailaddress_1@gmail.com,100,-100,6/3/23 11:00,6/17/23 10:00
203-4,Guest6,1 People 6/2/2023 - 6/5/2023,,emailaddress_1@gmail.com,100,-100,6/2/23 11:00,6/5/23 10:00
203-4,Guest7,1 People 6/5/2023 - 6/8/2023,,emailaddress_1@gmail.com,0,-0.01,6/5/23 11:00,6/8/23 10:00
203-4,Guest8,1 People 6/8/2023 - 6/11/2023,,emailaddress_1@gmail.com,0,0,6/8/23 11:00,6/11/23 10:00
203-4,Guest9,1 People 6/11/2023 - 6/20/2023,,emailaddress_1@gmail.com,0,0,6/11/23 11:00,6/20/23 10:00
203-5,Guest10,1 People 6/5/2023 - 6/8/2023,,emailaddress_1@gmail.com,0,0,6/5/23 11:00,6/8/23 10:00
203-5,Guest11,1 People 6/8/2023 - 6/15/2023,,emailaddress_1@gmail.com,0,576.76,6/8/23 11:00,6/15/23 10:00
203-6,Guest12,1 People 6/6/2023 - 6/9/2023,,emailaddress_1@gmail.com,0,0,6/6/23 11:00,6/9/23 10:00
203-6,Guest13,1 People 6/9/2023 - 6/11/2023,,emailaddress_1@gmail.com,0,0,6/9/23 11:00,6/11/23 10:00
203-6,Guest14,1 People 6/5/2023 - 6/6/2023,,emailaddress_1@gmail.com,0,0,6/5/23 11:00,6/6/23 10:00
204-1,Guest15,1 People 6/8/2023 - 6/9/2023,,emailaddress_1@gmail.com,0,0,6/8/23 11:00,6/9/23 10:00
204-1,Guest16,1 People 6/7/2023 - 6/8/2023,,emailaddress_1@gmail.com,0,83.59,6/7/23 11:00,6/8/23 10:00
204-1,Guest17,1 People 6/2/2023 - 6/7/2023,,emailaddress_1@gmail.com,100,-100,6/2/23 11:00,6/7/23 10:00
204-1,Guest18,1 People 6/9/2023 - 6/12/2023,,emailaddress_1@gmail.com,0,0,6/9/23 11:00,6/12/23 10:00
204-2,Guest19,1 People 6/5/2023 - 6/12/2023,,emailaddress_1@gmail.com,0,0,6/5/23 11:00,6/12/23 10:00
204-3,Guest20,1 People 6/10/2023 - 6/12/2023,,emailaddress_1@gmail.com,0,185.6,6/10/23 11:00,6/12/23 10:00
204-3,Guest21,1 People 6/1/2023 - 6/5/2023,,emailaddress_1@gmail.com,0,0,6/1/23 11:00,6/5/23 10:00
204-3,Guest22,1 People 6/6/2023 - 6/10/2023,,emailaddress_1@gmail.com,0,294.61,6/6/23 11:00,6/10/23 10:00
204-4,Guest23,1 People 6/10/2023 - 6/11/2023,,emailaddress_1@gmail.com,0,0,6/10/23 11:00,6/11/23 10:00
204-4,Guest24,1 People 6/6/2023 - 6/9/2023,,emailaddress_1@gmail.com,0,0,6/6/23 11:00,6/9/23 10:00
204-4,Guest25,1 People 6/9/2023 - 6/10/2023,,emailaddress_1@gmail.com,0,0,6/9/23 11:00,6/10/23 10:00
204-4,Guest26,1 People 6/11/2023 - 6/14/2023,,emailaddress_1@gmail.com,0,259,6/11/23 11:00,6/14/23 10:00
205-1,Guest27,1 People 6/5/2023 - 6/12/2023,,emailaddress_1@gmail.com,0,-0.04,6/5/23 11:00,6/12/23 10:00
205-2,Guest28,1 People 6/6/2023 - 6/7/2023,,emailaddress_1@gmail.com,0,0,6/6/23 11:00,6/7/23 10:00
205-2,Guest29,1 People 6/9/2023 - 6/13/2023,,emailaddress_1@gmail.com,0,0,6/9/23 11:00,6/13/23 10:00
205-3,Guest30,1 People 6/5/2023 - 6/10/2023,,emailaddress_1@gmail.com,0,0,6/5/23 11:00,6/10/23 10:00
205-3,Guest31,1 People 6/10/2023 - 6/12/2023,,emailaddress_1@gmail.com,0,0,6/10/23 11:00,6/12/23 10:00
205-4,Guest32,1 People 6/9/2023 - 6/12/2023,,emailaddress_1@gmail.com,0,311.08,6/9/23 11:00,6/12/23 10:00
205-4,Guest33,1 People 6/1/2023 - 6/9/2023,,emailaddress_1@gmail.com,0,0,6/1/23 11:00,6/9/23 10:00
206-1,Guest34,1 People 6/8/2023 - 6/11/2023,,emailaddress_1@gmail.com,0,0,6/8/23 11:00,6/11/23 10:00
206-1,Guest35,1 People 6/11/2023 - 6/17/2023,,emailaddress_1@gmail.com,0,0,6/11/23 11:00,6/17/23 10:00
